,COUNTY,Year,Fishing Dependency Index,Fishing Dependency Index,Fishing Dependency Index,Fishing Dependency Index,Fishing Dependency Index,Fishing Dependency Index
,,,sum,mean,median,max,min,count
0,ALAMEDA,2009,45,2.142857142857143,2.0,4,2,21
1,ALAMEDA,2010,45,2.25,2.0,4,2,20
2,ALAMEDA,2011,45,2.25,2.0,4,2,20
3,ALAMEDA,2012,44,2.2,2.0,4,2,20
4,ALAMEDA,2013,44,2.2,2.0,5,2,20
5,ALAMEDA,2014,44,2.2,2.0,4,2,20
6,ALAMEDA,2015,44,2.2,2.0,4,2,20
7,ALAMEDA,2016,43,2.15,2.0,4,2,20
8,ALAMEDA,2017,43,2.15,2.0,4,2,20
9,ALAMEDA,2018,44,2.2,2.0,5,2,20
10,ALAMEDA,2019,44,2.2,2.0,4,2,20
11,CONTRA COSTA,2009,81,2.025,2.0,3,2,40
12,CONTRA COSTA,2010,103,2.019607843137255,2.0,3,2,51
13,CONTRA COSTA,2011,103,2.019607843137255,2.0,3,2,51
14,CONTRA COSTA,2012,104,2.0392156862745097,2.0,3,2,51
15,CONTRA COSTA,2013,102,2.0,2.0,2,2,51
16,CONTRA COSTA,2014,103,2.019607843137255,2.0,3,2,51
17,CONTRA COSTA,2015,103,2.019607843137255,2.0,3,2,51
18,CONTRA COSTA,2016,103,2.019607843137255,2.0,3,2,51
19,CONTRA COSTA,2017,103,2.019607843137255,2.0,3,2,51
20,CONTRA COSTA,2018,103,2.019607843137255,2.0,3,2,51
21,CONTRA COSTA,2019,103,2.019607843137255,2.0,3,2,51
22,DEL NORTE,2009,12,3.0,2.0,6,2,4
23,DEL NORTE,2010,16,2.6666666666666665,2.0,6,2,6
24,DEL NORTE,2011,16,2.6666666666666665,2.0,6,2,6
25,DEL NORTE,2012,18,3.0,2.0,6,2,6
26,DEL NORTE,2013,16,2.6666666666666665,2.0,6,2,6
27,DEL NORTE,2014,18,3.0,2.0,6,2,6
28,DEL NORTE,2015,18,3.0,2.0,6,2,6
29,DEL NORTE,2016,16,2.6666666666666665,2.0,6,2,6
30,DEL NORTE,2017,18,2.5714285714285716,2.0,6,2,7
31,DEL NORTE,2018,20,2.857142857142857,2.0,6,2,7
32,DEL NORTE,2019,20,2.857142857142857,2.0,6,2,7
33,HUMBOLDT,2009,43,2.5294117647058822,2.0,7,2,17
34,HUMBOLDT,2010,87,2.4857142857142858,2.0,7,2,35
35,HUMBOLDT,2011,90,2.5714285714285716,2.0,7,2,35
36,HUMBOLDT,2012,89,2.5428571428571427,2.0,7,2,35
37,HUMBOLDT,2013,86,2.4571428571428573,2.0,7,2,35
38,HUMBOLDT,2014,89,2.4722222222222223,2.0,7,2,36
39,HUMBOLDT,2015,84,2.3333333333333335,2.0,6,1,36
40,HUMBOLDT,2016,84,2.4,2.0,7,1,35
41,HUMBOLDT,2017,84,2.27027027027027,2.0,7,1,37
42,HUMBOLDT,2018,88,2.3783783783783785,2.0,7,1,37
43,HUMBOLDT,2019,83,2.2432432432432434,2.0,5,2,37
44,KERN,2010,2,2.0,2.0,2,2,1
45,KERN,2011,2,2.0,2.0,2,2,1
46,KERN,2012,2,2.0,2.0,2,2,1
47,KERN,2013,2,2.0,2.0,2,2,1
48,KERN,2014,2,2.0,2.0,2,2,1
49,KERN,2015,2,2.0,2.0,2,2,1
50,KERN,2016,2,2.0,2.0,2,2,1
51,KERN,2017,2,2.0,2.0,2,2,1
52,KERN,2018,2,2.0,2.0,2,2,1
53,KERN,2019,2,2.0,2.0,2,2,1
54,LOS ANGELES,2009,259,2.0393700787401574,2.0,5,2,127
55,LOS ANGELES,2010,289,2.0642857142857145,2.0,5,2,140
56,LOS ANGELES,2011,289,2.0642857142857145,2.0,5,2,140
57,LOS ANGELES,2012,287,2.064748201438849,2.0,5,2,139
58,LOS ANGELES,2013,286,2.0428571428571427,2.0,5,2,140
59,LOS ANGELES,2014,286,2.0575539568345325,2.0,5,2,139
60,LOS ANGELES,2015,287,2.064748201438849,2.0,5,2,139
61,LOS ANGELES,2016,286,2.0575539568345325,2.0,5,2,139
62,LOS ANGELES,2017,288,2.057142857142857,2.0,5,2,140
63,LOS ANGELES,2018,289,2.0642857142857145,2.0,5,2,140
64,LOS ANGELES,2019,287,2.05,2.0,5,2,140
65,MARIN,2009,60,2.2222222222222223,2.0,4,2,27
66,MARIN,2010,68,2.193548387096774,2.0,4,2,31
67,MARIN,2011,66,2.129032258064516,2.0,4,2,31
68,MARIN,2012,70,2.2580645161290325,2.0,5,2,31
69,MARIN,2013,66,2.129032258064516,2.0,4,2,31
70,MARIN,2014,72,2.3225806451612905,2.0,4,2,31
71,MARIN,2015,72,2.3225806451612905,2.0,5,2,31
72,MARIN,2016,71,2.2903225806451615,2.0,6,2,31
73,MARIN,2017,68,2.193548387096774,2.0,4,2,31
74,MARIN,2018,66,2.129032258064516,2.0,4,2,31
75,MARIN,2019,69,2.225806451612903,2.0,4,2,31
76,MENDOCINO,2009,24,3.0,2.0,6,2,8
77,MENDOCINO,2010,58,2.5217391304347827,2.0,6,2,23
78,MENDOCINO,2011,59,2.5652173913043477,2.0,6,2,23
79,MENDOCINO,2012,60,2.608695652173913,2.0,7,2,23
80,MENDOCINO,2013,58,2.5217391304347827,2.0,6,2,23
81,MENDOCINO,2014,59,2.5652173913043477,2.0,7,2,23
82,MENDOCINO,2015,59,2.5652173913043477,2.0,7,2,23
83,MENDOCINO,2016,57,2.4782608695652173,2.0,7,2,23
84,MENDOCINO,2017,57,2.4782608695652173,2.0,6,2,23
85,MENDOCINO,2018,56,2.4347826086956523,2.0,6,2,23
86,MENDOCINO,2019,55,2.391304347826087,2.0,6,2,23
87,MONTEREY,2009,61,2.3461538461538463,2.0,8,2,26
88,MONTEREY,2010,67,2.310344827586207,2.0,8,2,29
89,MONTEREY,2011,67,2.310344827586207,2.0,8,2,29
90,MONTEREY,2012,67,2.310344827586207,2.0,8,2,29
91,MONTEREY,2013,67,2.310344827586207,2.0,8,2,29
92,MONTEREY,2014,68,2.3448275862068964,2.0,8,2,29
93,MONTEREY,2015,68,2.3448275862068964,2.0,8,2,29
94,MONTEREY,2016,67,2.310344827586207,2.0,8,2,29
95,MONTEREY,2017,67,2.310344827586207,2.0,8,2,29
96,MONTEREY,2018,67,2.310344827586207,2.0,8,2,29
97,MONTEREY,2019,67,2.310344827586207,2.0,8,2,29
98,NAPA,2009,14,2.0,2.0,2,2,7
99,NAPA,2010,22,2.0,2.0,2,2,11
100,NAPA,2011,22,2.0,2.0,2,2,11
101,NAPA,2012,22,2.0,2.0,2,2,11
102,NAPA,2013,21,1.9090909090909092,2.0,2,1,11
103,NAPA,2014,22,2.0,2.0,2,2,11
104,NAPA,2015,22,2.0,2.0,2,2,11
105,NAPA,2016,22,2.0,2.0,2,2,11
106,NAPA,2017,22,2.0,2.0,2,2,11
107,NAPA,2018,22,2.0,2.0,2,2,11
108,NAPA,2019,22,2.0,2.0,2,2,11
109,ORANGE,2009,80,2.1052631578947367,2.0,5,2,38
110,ORANGE,2010,90,2.142857142857143,2.0,5,2,42
111,ORANGE,2011,90,2.142857142857143,2.0,5,2,42
112,ORANGE,2012,84,2.048780487804878,2.0,4,2,41
113,ORANGE,2013,86,2.097560975609756,2.0,5,2,41
114,ORANGE,2014,86,2.097560975609756,2.0,4,2,41
115,ORANGE,2015,87,2.1219512195121952,2.0,5,2,41
116,ORANGE,2016,86,2.097560975609756,2.0,4,2,41
117,ORANGE,2017,86,2.097560975609756,2.0,4,2,41
118,ORANGE,2018,85,2.073170731707317,2.0,4,2,41
119,ORANGE,2019,86,2.097560975609756,2.0,4,2,41
120,RIVERSIDE,2010,4,2.0,2.0,2,2,2
121,RIVERSIDE,2011,4,2.0,2.0,2,2,2
122,RIVERSIDE,2012,4,2.0,2.0,2,2,2
123,RIVERSIDE,2013,6,2.0,2.0,2,2,3
124,RIVERSIDE,2014,4,2.0,2.0,2,2,2
125,RIVERSIDE,2015,4,2.0,2.0,2,2,2
126,RIVERSIDE,2016,4,2.0,2.0,2,2,2
