,Date -Sampled-,Sample Site,Mod-ASP,ASP -ug/g-,County,Sample Type,Latitude,Longitude,Zone
1,2000-11-17,"Humboldt County, OFFSHORE",,10.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
2,2000-11-17,"Humboldt County, OFFSHORE",,9.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
3,2000-11-17,"Humboldt County, OFFSHORE",,2.6,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
4,2000-11-17,"Humboldt County, OFFSHORE",,10.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
5,2000-11-17,"Humboldt County, OFFSHORE",,2.5,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
6,2000-11-17,"Humboldt County, OFFSHORE",<,1.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
7,2000-11-17,"Humboldt County, OFFSHORE",,1.1,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
8,2000-11-17,"Humboldt County, OFFSHORE",,3.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
9,2000-11-17,"Humboldt County, OFFSHORE",,7.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
10,2000-11-17,"Humboldt County, OFFSHORE",,4.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
11,2000-11-17,"Humboldt County, OFFSHORE",,15.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
12,2000-11-17,"Humboldt County, OFFSHORE",,14.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
13,2000-11-17,"Humboldt County, OFFSHORE",,5.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
14,2000-11-17,"Humboldt County, OFFSHORE",,5.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
15,2000-11-17,"Humboldt County, OFFSHORE",,4.9,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
16,2000-11-17,"Humboldt County, OFFSHORE",,3.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
17,2000-11-17,"Humboldt County, OFFSHORE",,9.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
18,2000-11-17,"Humboldt County, OFFSHORE",,11.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
19,2000-11-17,"Humboldt County, OFFSHORE",,18.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
20,2000-11-17,"Humboldt County, OFFSHORE",,11.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,
21,2002-03-15,"Half Moon Bay, offshore",<,1.0,San Mateo,"Crab, Dungeness, viscera",37.4976,-122.5406,
