,Date -Sampled-,Sample Site,Mod-ASP,ASP -ug/g-,County,Sample Type,Latitude,Longitude,Zone
0,2000-11-17,"Humboldt County, OFFSHORE",,10.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
1,2000-11-17,"Humboldt County, OFFSHORE",,9.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
2,2000-11-17,"Humboldt County, OFFSHORE",,2.6,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
3,2000-11-17,"Humboldt County, OFFSHORE",,10.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
4,2000-11-17,"Humboldt County, OFFSHORE",,2.5,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
5,2000-11-17,"Humboldt County, OFFSHORE",<,1.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
6,2000-11-17,"Humboldt County, OFFSHORE",,1.1,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
7,2000-11-17,"Humboldt County, OFFSHORE",,3.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
8,2000-11-17,"Humboldt County, OFFSHORE",,7.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
9,2000-11-17,"Humboldt County, OFFSHORE",,4.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
10,2000-11-17,"Humboldt County, OFFSHORE",,15.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
11,2000-11-17,"Humboldt County, OFFSHORE",,14.0,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
12,2000-11-17,"Humboldt County, OFFSHORE",,5.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
13,2000-11-17,"Humboldt County, OFFSHORE",,5.2,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
14,2000-11-17,"Humboldt County, OFFSHORE",,4.9,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
15,2000-11-17,"Humboldt County, OFFSHORE",,3.8,Humboldt,"Crab, Dungeness, viscera",40.785,-124.674,A
